Address, City, State, ZIP, Backroom Stock, Floor Stock, In Transit Stock, Price, Aisles
2275 Gus Thomasson Rd, Dallas, TX, 75228, 0, 0, 0, N/A, N/A
1400 Mccreary Road, Wylie, TX, 75098, 0, 0, 0, N/A, N/A
15757 Coit Rd, Dallas, TX, 75248, 0, 1, 0, 45.5, I1-3
1521 N Cockrell Hill Rd, Dallas, TX, 75211, 0, 1, 0, 50.0, K1-4
2951 Matlock Rd, Mansfield, TX, 76063, 0, 0, 0, N/A, N/A
6300 Oakmont Blvd, Fort Worth, TX, 76132, 0, 0, 0, 63.0, K1-3
425 Coit Rd, Plano, TX, 75075, 0, 0, 0, 80.0, K1-3
150 N Interstate 35 E, Lancaster, TX, 75146, 1, 4, 0, 45.5, K1-3
9301 Forest Ln, Dallas, TX, 75243, 0, 4, 0, 46.0, O24-4
1213 E Trinity Mills Rd, Carrollton, TX, 75006, 0, 0, 0, 60.0, L1-4
7401 Samuell Blvd, Dallas, TX, 75228, 0, 0, 0, 56.0, K1-3
8401 Anderson Blvd, Fort Worth, TX, 76120, 0, 1, 0, 63.0, K18-4
4101 Highway 121, Bedford, TX, 76021, 0, 0, 0, 58.0, K1-3
6040 Coit Road, Plano, TX, 75023, 0, 0, 0, N/A, N/A
1221 Fm 1187, Crowley, TX, 76036, 0, 1, 0, 60.0, K1-3
7075 W Wheatland Rd, Dallas, TX, 75249, 1, 3, 0, 46.5, K1-4
3100 Custer Rd, Plano, TX, 75075, 0, 0, 0, 119.0, N/A
915 E Randol Mill Rd, Arlington, TX, 76011, 0, 0, 0, 67.0, K1-4
701 W Princeton Dr, Princeton, TX, 75407, 0, 1, 0, 56.0, K1-2
2662 W Lucas Rd, Lucas, TX, 75002, 0, 0, 0, 47.5, K24-4
8015 Woodbridge Pkwy, Sachse, TX, 75048, 0, 0, 0, 61.0, K1-3
1721 N Custer Rd, Mckinney, TX, 75071, 0, 4, 0, 45.5, L1-8
3851 Airport Fwy, Fort Worth, TX, 76111, 0, 0, 0, 80.0, N1-3
850 W Rusk St, Rockwall, TX, 75087, 0, 0, 0, N/A, N/A
3312 Preston Rd, Plano, TX, 75093, 0, 0, 0, 119.0, N/A
4100 W Airport Fwy, Irving, TX, 75062, 0, 0, 0, 52.0, K1-4
5336 Golden Triangle Boulevard, Fort Worth, TX, 76244, 0, 1, 0, 50.0, K24-4
15220 Montfort Rd, Dallas, TX, 75248, 0, 0, 0, 67.0, K1-3
11700 Us Highway 380, Cross Roads, TX, 76227, 0, 1, 0, 64.0, K1-3
1301 E. Fm 1187, Crowley, TX, 76036, 0, 0, 0, N/A, N/A
101 W Buckingham Rd, Garland, TX, 75040, 0, 0, 0, N/A, N/A
6185 Retail Rd, Dallas, TX, 75231, 0, 0, 0, 61.0, K20-3
1951 Military Pkwy, Mesquite, TX, 75149, 0, 0, 0, N/A, N/A
6401 Ne Loop 820, North Richland Hills, TX, 76180, 0, 2, 0, 55.0, K1-4
350 N Bluegrove Rd, Lancaster, TX, 75146, 0, 0, 0, N/A, N/A
220 N Highway 175, Seagoville, TX, 75159, 0, 0, 0, 48.5, K1-3
720 W Pipeline Rd, Hurst, TX, 76053, 0, 0, 0, 119.0, N/A
735 E Highway 377, Granbury, TX, 76048, 0, 0, 0, 67.0, K20-3
12300 Lake June Rd, Balch Springs, TX, 75180, 0, 0, 0, 80.0, K1-3
6001 N Central Expy, Plano, TX, 75023, 0, 2, 0, 47.5, K1-3
8840 Benbrook Blvd, Benbrook, TX, 76126, 0, 1, 0, 45.5, L24-3
2225 W Interstate 20, Grand Prairie, TX, 75052, 0, 2, 0, 47.5, N/A
2827 S Buckner Blvd, Dallas, TX, 75227, 0, 0, 0, N/A, N/A
782 E Interstate 30, Rockwall, TX, 75087, 0, 0, 0, 80.0, M1-3
717 W Berry St, Fort Worth, TX, 76110, 0, 0, 0, N/A, N/A
200 Short Blvd, Dallas, TX, 75232, 0, 1, 0, 47.5, K1-3
9500 Clifford St, Fort Worth, TX, 76108, 0, 0, 0, 80.0, K1-3
965 Nw John Jones Dr, Burleson, TX, 76028, 0, 0, 0, N/A, N/A
3930 Teasley Ln, Denton, TX, 76210, 0, 0, 0, N/A, N/A
1401 N Saginaw Blvd, Saginaw, TX, 76179, 0, 2, 0, 47.5, K1-5
2650 S State Highway 161, Grand Prairie, TX, 75052, 0, 0, 0, 80.0, K28-3
12220 Fm 423, Frisco, TX, 75033, 0, 0, 0, 62.0, K1-3
6756 W Vickery Blvd, Fort Worth, TX, 76116, 0, 0, 0, N/A, N/A
2750 W University Dr, Denton, TX, 76201, 0, 0, 0, 80.0, L26-5
3060 Justin Rd, Highland Village, TX, 75077, 0, 0, 0, 80.0, K1-5
108 W Parkerville Rd, Desoto, TX, 75115, 0, 0, 0, N/A, N/A
500 Richland Blvd, Prosper, TX, 75078, 0, 4, 0, 47.5, K23-3
2050 N Highway 78, Wylie, TX, 75098, 0, 0, 0, 61.0, K1-3
5001 Mckinney Ranch Pkwy, Mckinney, TX, 75070, 0, 8, 0, 45.5, K1-3
8520 N Beach St, Fort Worth, TX, 76244, 0, 0, 0, 50.0, K1-4
355 Stonebrook Pkwy, Frisco, TX, 75036, 0, 2, 0, 60.0, K1-3
